Jenis_Kelamin,Umur,SIM,Kode_Daerah,Sudah_Asuransi,Umur_Kendaraan,Kendaraan_Rusak,Premi,Kanal_Penjualan,Lama_Berlangganan,Tertarik,Prediksi
0,43,1,6,1,1,0,29908.0,26,230,0,0.0
1,32,1,46,1,0,0,26504.0,152,174,0,0.0
0,25,1,27,1,0,0,2630.0,160,294,0,0.0
1,21,1,8,0,0,1,36385.0,160,209,0,0.0
0,22,1,20,0,1,0,2630.0,124,42,0,0.0
0,34,1,28,0,1,0,38894.0,122,69,0,0.0
1,66,1,35,1,1,0,32416.0,26,234,0,0.0
1,33,1,6,1,0,0,23476.0,152,58,0,0.0
1,55,1,50,0,1,1,35012.0,8,173,0,0.0
0,29,1,28,0,0,1,50619.0,124,95,0,0.0
0,41,1,8,0,1,1,31386.0,124,236,0,0.0
1,23,1,35,1,0,0,25424.0,152,56,0,0.0
1,27,1,37,0,0,1,40959.0,152,113,1,0.0
1,20,1,30,0,0,0,25701.0,160,283,0,0.0
0,27,1,8,1,0,0,2630.0,160,191,0,0.0
1,22,1,15,1,0,0,32508.0,152,114,0,0.0
0,52,1,8,1,1,0,33370.0,26,36,0,0.0
1,21,1,28,0,1,1,36774.0,154,280,1,0.0
0,48,1,41,0,2,1,24370.0,26,10,1,0.0
1,42,1,28,0,1,1,2630.0,26,155,0,1.0
0,37,1,8,1,1,0,52378.0,152,238,0,0.0
1,30,1,3,1,0,0,16353.0,152,150,0,0.0
0,25,1,18,1,0,0,20868.0,152,102,0,0.0
1,61,1,15,0,1,0,30053.0,124,191,0,0.0
1,24,1,2,0,0,1,30730.0,26,281,0,0.0
1,62,1,18,0,1,1,17107.0,156,220,1,0.0
0,46,1,43,0,1,1,2630.0,26,174,0,0.0
1,26,1,49,1,0,1,29216.0,152,48,0,0.0
0,71,1,46,1,1,0,25734.0,11,139,0,0.0
0,46,1,12,0,2,1,2630.0,124,257,0,0.0
0,38,1,8,1,1,0,31791.0,152,132,0,0.0
1,31,1,41,1,1,0,44383.0,154,109,0,0.0
1,66,1,28,0,2,1,59959.0,124,227,0,0.0
0,23,1,36,1,0,0,2630.0,160,192,0,0.0
0,67,1,18,0,1,1,30526.0,131,258,0,0.0
0,29,1,10,1,0,0,27171.0,152,197,0,0.0
0,71,1,50,1,1,0,33274.0,8,152,0,0.0
0,43,1,46,0,1,1,23734.0,157,224,1,0.0
1,25,1,23,1,0,0,31597.0,152,109,0,0.0
0,52,1,28,0,1,1,42928.0,29,223,0,1.0
1,53,1,28,0,1,1,26962.0,26,240,0,0.0
1,43,1,8,0,1,1,2630.0,124,133,0,0.0
1,28,1,41,1,0,0,26283.0,152,79,0,0.0
0,23,1,6,1,0,0,32145.0,152,192,0,0.0
0,37,1,41,0,1,1,29456.0,26,164,0,0.0
0,25,1,46,1,0,0,24568.0,152,171,0,0.0
0,23,1,14,0,0,1,31667.0,152,17,1,0.0
0,32,1,45,0,0,1,18998.0,152,41,1,0.0
1,25,1,14,1,0,0,31511.0,152,255,0,0.0
0,71,1,28,0,1,1,35252.0,124,26,0,0.0
1,42,1,18,1,1,0,37610.0,25,256,0,0.0
0,69,1,28,0,1,1,29535.0,26,205,0,0.0
1,24,1,15,1,0,0,25167.0,152,229,0,0.0
1,22,1,50,1,0,0,21974.0,152,79,0,0.0
0,45,1,28,1,1,0,43846.0,124,44,0,0.0
1,24,1,45,1,0,0,2630.0,152,41,0,0.0
0,21,1,46,0,0,1,34587.0,152,63,0,0.0
0,70,1,28,1,1,0,48784.0,61,239,0,0.0
0,25,1,36,1,0,0,47348.0,152,229,0,0.0
0,21,1,47,0,0,1,36682.0,152,119,0,0.0
1,47,1,41,0,1,1,34991.0,26,259,0,0.0
0,22,1,49,0,0,1,25703.0,160,199,0,0.0
1,25,1,29,1,0,0,28428.0,152,86,0,0.0
0,44,1,28,0,1,1,34598.0,26,30,0,0.0
1,33,1,45,0,1,1,2630.0,156,229,1,0.0
0,43,1,28,0,1,1,37219.0,124,240,0,0.0
0,40,1,8,1,1,0,29278.0,124,160,0,0.0
1,46,1,6,0,2,1,35195.0,124,234,0,0.0
1,29,1,30,1,0,0,25446.0,152,185,0,0.0
1,27,1,9,1,0,0,43300.0,152,188,0,0.0
1,42,1,14,0,1,1,2630.0,157,119,0,0.0
1,37,1,28,1,1,0,31502.0,26,263,0,0.0
1,31,1,2,1,1,0,45611.0,26,253,0,0.0
0,21,1,28,1,0,0,45733.0,152,244,0,0.0
1,28,1,6,1,0,0,28873.0,152,29,0,0.0
0,32,1,47,1,0,0,46837.0,152,65,0,0.0
1,38,1,28,0,1,1,26103.0,154,121,0,0.0
1,43,1,46,1,1,0,39040.0,11,98,0,0.0
0,61,1,11,0,1,1,29880.0,26,174,0,1.0
0,65,1,41,1,1,0,35505.0,152,87,0,0.0
1,25,1,28,0,0,1,61518.0,124,15,0,0.0
1,29,1,41,1,0,0,29020.0,152,202,0,0.0
1,28,1,29,1,0,0,2630.0,152,212,0,0.0
0,52,1,31,0,1,1,2630.0,148,154,0,0.0
0,61,1,29,1,1,0,36634.0,26,282,0,0.0
1,33,1,35,1,0,0,2630.0,152,262,0,0.0
0,63,1,8,1,1,0,33950.0,26,205,0,0.0
0,40,1,28,0,1,1,47600.0,124,265,0,0.0
0,28,1,36,0,0,1,2630.0,152,210,0,0.0
1,60,1,28,0,1,1,38916.0,125,159,0,0.0
1,29,1,41,1,0,0,31826.0,152,271,0,0.0
0,27,1,28,0,0,1,57389.0,26,158,1,0.0
0,31,1,50,1,0,0,26980.0,152,188,0,0.0
1,39,1,46,1,1,0,26328.0,11,264,0,0.0
0,40,1,28,0,1,1,40904.0,30,280,0,0.0
0,25,1,35,1,0,0,33473.0,152,136,0,0.0
1,40,1,50,1,1,0,27868.0,152,100,0,0.0
1,40,1,28,0,2,1,48111.0,26,138,1,1.0
1,28,1,41,1,0,0,46933.0,152,278,0,0.0
0,40,1,28,0,1,0,45313.0,124,107,0,0.0
0,54,1,28,1,1,0,38265.0,122,291,0,0.0
1,39,1,8,0,1,1,2630.0,157,274,1,0.0
0,26,1,45,1,0,0,31691.0,152,255,0,0.0
1,20,1,3,1,0,0,22212.0,160,49,0,0.0
1,35,1,28,0,1,1,27073.0,124,201,0,1.0
0,48,1,28,1,1,0,51413.0,124,96,0,0.0
0,71,1,29,0,1,1,36569.0,26,146,0,0.0
0,35,1,28,0,1,1,47630.0,124,112,0,0.0
0,72,1,15,0,2,1,32225.0,14,90,0,0.0
1,60,1,28,0,1,1,28490.0,26,70,0,0.0
0,55,1,48,0,1,1,2630.0,124,111,0,0.0
0,68,1,8,0,1,0,53968.0,124,90,0,0.0
1,36,1,28,0,1,1,30205.0,122,278,0,0.0
1,23,1,41,1,0,0,31452.0,152,24,0,0.0
0,24,1,28,0,1,1,33241.0,124,30,1,0.0
0,59,1,8,1,1,0,32335.0,25,173,0,0.0
1,38,1,28,0,1,1,2630.0,124,43,0,0.0
0,25,1,29,1,0,0,54239.0,152,135,0,0.0
1,27,1,6,1,0,0,25908.0,152,283,0,0.0
1,20,1,46,1,0,0,36485.0,160,84,0,0.0
1,40,1,1,1,1,0,2630.0,26,96,0,0.0
0,54,1,28,0,1,1,27115.0,26,213,0,1.0
1,49,1,36,0,1,1,34625.0,124,271,0,0.0
1,24,1,8,1,0,0,28071.0,152,181,0,0.0
0,33,1,24,1,1,0,22981.0,124,68,0,0.0
1,22,1,11,1,0,0,21519.0,152,26,0,0.0
0,25,1,30,0,1,1,28020.0,124,264,0,0.0
1,48,1,28,0,1,1,44095.0,52,24,1,0.0
1,34,1,46,0,1,1,25708.0,156,129,0,1.0
0,50,1,28,0,1,1,42777.0,26,33,0,0.0
1,47,1,46,0,1,1,32922.0,124,223,0,0.0
1,24,1,28,1,0,0,47876.0,26,269,0,0.0
0,48,1,8,1,1,0,35596.0,26,119,0,0.0
1,25,1,41,1,0,0,41550.0,152,62,0,0.0
1,66,1,29,0,1,1,20982.0,26,274,0,0.0
0,43,1,7,0,1,1,30417.0,124,32,0,0.0
0,20,1,41,0,0,0,2630.0,1,241,0,0.0
0,53,1,28,0,1,1,36580.0,45,238,0,0.0
0,25,1,12,1,0,0,33826.0,160,144,0,0.0
0,22,1,30,1,0,0,32736.0,152,10,0,0.0
0,23,1,37,0,0,1,32750.0,152,12,0,0.0
0,25,1,50,1,0,0,41444.0,152,199,0,0.0
1,22,1,10,1,0,0,16943.0,152,207,0,0.0
0,24,1,46,0,0,1,25740.0,152,274,0,0.0
1,22,1,8,1,0,0,31895.0,152,15,0,0.0
1,22,1,17,0,0,1,33526.0,152,73,0,0.0
0,39,1,50,0,1,1,28291.0,124,133,0,0.0
0,28,1,41,0,1,1,39432.0,124,115,0,0.0
1,24,1,11,0,0,1,41919.0,152,13,0,0.0
1,21,1,28,0,1,1,32993.0,124,176,0,0.0
0,24,1,3,1,0,0,29093.0,160,227,0,0.0
0,55,1,28,0,2,1,38068.0,122,40,0,0.0
1,34,1,36,0,1,1,29000.0,154,283,0,0.0
1,24,1,27,0,0,1,51554.0,151,282,0,0.0
0,23,1,8,0,0,1,32270.0,152,220,0,0.0
1,24,1,37,1,0,0,27444.0,152,204,0,0.0
0,36,1,38,0,1,1,30518.0,124,184,0,1.0
0,61,1,28,0,1,1,49275.0,26,222,0,0.0
0,35,1,50,0,1,1,40775.0,8,25,0,0.0
0,29,1,46,0,0,1,2630.0,160,205,0,0.0
0,26,1,44,1,0,0,34497.0,152,74,0,0.0
0,25,1,14,1,0,0,23885.0,152,100,0,0.0
1,43,1,28,0,1,1,36935.0,26,269,0,0.0
1,51,1,8,0,1,1,40488.0,124,183,0,0.0
0,66,1,29,1,1,0,28660.0,26,79,0,0.0
0,64,1,28,0,1,1,32354.0,30,31,0,0.0
0,46,1,12,0,1,1,27202.0,26,17,1,0.0
0,61,1,28,0,2,1,61233.0,124,148,1,0.0
1,30,1,28,1,1,0,26449.0,26,219,0,0.0
1,41,1,41,1,1,0,21233.0,26,197,0,0.0
1,25,1,13,1,0,0,30394.0,152,120,0,0.0
0,73,1,11,1,1,0,29745.0,152,149,0,0.0
0,48,1,28,0,2,1,41621.0,124,255,0,0.0
1,20,1,11,1,1,0,36426.0,124,127,0,0.0
1,45,1,37,1,1,0,38372.0,26,37,1,0.0
1,23,1,6,1,0,0,29408.0,152,13,0,0.0
1,29,1,30,1,0,0,22615.0,152,104,0,0.0
0,39,1,43,0,1,1,2630.0,26,202,1,0.0
0,20,1,28,1,1,0,35863.0,26,216,0,0.0
1,31,1,35,1,0,0,32694.0,152,164,0,0.0
1,43,1,28,0,1,1,53960.0,26,158,0,0.0
0,23,1,10,1,0,0,33209.0,154,258,0,0.0
0,29,1,47,1,0,0,34118.0,152,15,0,0.0
0,30,1,28,0,0,1,41162.0,26,190,0,0.0
1,26,1,37,1,0,0,29158.0,26,258,0,0.0
1,24,1,16,0,0,0,27522.0,152,114,0,0.0
0,30,1,28,0,1,1,38737.0,156,66,1,1.0
0,23,1,21,0,0,1,53673.0,152,251,1,0.0
1,46,1,8,0,1,1,35248.0,154,248,0,0.0
0,46,1,8,0,1,1,30457.0,19,58,0,0.0
1,22,1,28,1,0,0,51716.0,152,176,0,0.0
1,21,1,33,1,0,1,23671.0,152,65,0,0.0
1,26,1,30,1,0,0,31088.0,152,228,0,0.0
1,36,1,28,0,1,1,45446.0,124,234,0,0.0
1,22,1,8,0,0,1,2630.0,152,176,0,0.0
1,23,1,10,1,0,0,27604.0,152,16,0,0.0
0,20,1,8,1,0,0,34141.0,160,190,0,0.0
1,39,1,36,1,1,0,2630.0,160,65,0,0.0
1,23,1,17,1,0,0,31638.0,152,109,0,0.0
1,21,1,7,1,0,1,33640.0,160,269,0,0.0
0,36,1,28,0,1,1,44814.0,26,185,1,0.0
0,23,1,30,0,1,1,25859.0,124,267,0,0.0
1,23,1,36,1,0,0,30269.0,152,181,0,0.0
0,43,1,28,0,1,1,2630.0,26,46,1,0.0
0,42,1,39,0,1,1,31864.0,124,158,0,0.0
0,67,1,28,0,1,1,24791.0,124,23,1,0.0
0,24,1,12,1,0,0,27907.0,152,112,0,0.0
1,58,1,50,0,1,1,29901.0,8,177,0,0.0
0,67,1,8,0,1,1,36756.0,124,258,0,0.0
1,82,1,28,1,1,0,34226.0,26,42,0,0.0
1,22,1,11,1,0,0,56171.0,152,229,0,0.0
1,44,1,28,1,1,0,38843.0,124,263,0,0.0
0,42,1,28,1,1,0,33519.0,124,112,0,0.0
0,49,1,28,1,1,0,30563.0,26,193,0,0.0
0,24,1,8,0,0,1,33126.0,124,116,0,0.0
1,34,1,28,0,1,1,45385.0,124,282,0,0.0
1,67,1,5,0,1,1,28512.0,124,254,0,0.0
0,40,1,28,0,1,1,39308.0,125,293,0,0.0
1,29,1,18,1,0,0,23070.0,152,213,0,0.0
0,22,1,47,0,0,1,41496.0,163,158,0,0.0
1,21,1,47,0,0,1,33658.0,160,163,0,0.0
0,47,1,37,1,1,0,42424.0,124,265,0,0.0
1,37,1,41,1,1,0,32045.0,152,255,0,0.0
0,64,1,48,0,2,1,2630.0,124,95,0,0.0
1,21,1,2,1,0,0,28820.0,160,153,0,0.0
0,46,1,29,0,2,1,52013.0,124,288,1,1.0
0,26,1,48,0,0,1,2630.0,152,249,0,0.0
0,25,1,13,1,0,0,35594.0,152,82,0,0.0
1,38,1,17,0,1,1,39426.0,30,269,1,0.0
0,56,1,46,1,1,0,2630.0,11,122,0,0.0
0,32,1,47,0,1,1,30381.0,29,14,0,0.0
0,30,1,28,1,0,0,28367.0,152,137,0,0.0
0,23,1,29,1,0,0,39701.0,152,172,0,0.0
0,21,1,46,1,0,0,36239.0,160,280,0,0.0
0,47,1,28,1,1,0,35527.0,124,34,0,0.0
0,79,1,41,1,1,0,33774.0,124,182,0,0.0
0,46,1,30,0,1,1,29384.0,152,169,0,0.0
0,64,1,46,1,1,0,33523.0,11,14,0,0.0
0,48,1,28,0,2,1,43856.0,124,48,0,0.0
0,26,1,15,1,0,0,39493.0,152,264,0,0.0
1,45,1,50,1,1,0,36084.0,8,22,0,0.0
0,38,1,3,0,1,1,29851.0,124,159,1,0.0
1,24,1,29,1,0,0,38040.0,152,222,0,0.0
0,33,1,23,0,1,1,2630.0,156,173,1,0.0
0,56,1,28,1,1,0,32457.0,3,210,0,0.0
1,54,1,37,1,1,0,51980.0,26,36,0,0.0
0,68,1,46,0,2,1,40237.0,26,139,0,0.0
1,24,1,26,0,0,1,25936.0,160,68,0,0.0
0,49,1,28,1,1,0,30146.0,124,243,0,0.0
0,21,1,3,0,0,1,57092.0,160,200,0,0.0
0,47,1,28,0,1,1,37329.0,124,278,0,0.0
0,41,1,29,0,1,0,31574.0,124,106,0,0.0
1,45,1,28,0,1,1,34756.0,26,84,0,0.0
1,51,1,30,0,1,1,30017.0,152,224,0,0.0
1,54,1,28,0,1,1,49781.0,26,13,1,0.0
1,22,1,30,1,0,0,30998.0,152,254,0,0.0
0,27,1,11,1,0,0,37832.0,152,288,0,0.0
0,22,1,37,0,0,1,33038.0,163,208,0,0.0
0,23,1,36,1,0,0,30750.0,152,189,0,0.0
0,24,1,10,1,0,0,36784.0,152,91,0,0.0
1,27,1,50,1,0,0,36440.0,152,123,0,0.0
1,26,1,33,0,1,1,41818.0,26,281,0,0.0
1,57,1,3,0,2,1,28179.0,124,171,1,0.0
0,28,1,28,0,1,1,42233.0,154,229,1,0.0
1,35,1,45,1,1,0,24569.0,122,144,0,0.0
0,21,1,36,0,0,1,36456.0,160,117,0,0.0
0,33,1,3,1,1,0,2630.0,124,282,0,0.0
0,37,1,1,0,2,1,2630.0,157,162,0,0.0
1,52,1,23,1,1,0,25208.0,124,225,0,0.0
0,24,1,14,1,0,0,28652.0,151,86,0,0.0
0,20,1,2,0,0,1,36753.0,160,281,0,0.0
0,37,1,28,1,1,0,30101.0,124,99,0,0.0
0,24,1,2,1,0,0,34053.0,152,237,0,0.0
1,24,1,11,1,0,0,33191.0,152,59,0,0.0
1,22,1,14,0,0,0,27977.0,152,220,0,0.0
0,50,1,28,0,1,1,34241.0,46,171,0,0.0
1,25,1,17,1,0,0,38785.0,152,59,0,0.0
0,34,1,15,1,1,0,43272.0,152,62,0,0.0
1,42,1,8,1,1,0,52325.0,152,97,0,0.0
1,41,1,16,1,1,0,29075.0,152,166,0,0.0
1,32,1,12,0,0,1,34557.0,26,279,1,0.0
0,22,1,46,1,0,0,24209.0,152,106,0,0.0
0,45,1,28,0,1,1,43193.0,26,134,1,1.0
0,30,1,31,0,0,1,2630.0,26,141,0,0.0
0,43,1,35,1,1,0,33869.0,26,236,0,0.0
0,27,1,29,1,0,0,36782.0,152,281,0,0.0
1,28,1,33,1,0,0,37525.0,152,160,0,0.0
1,44,1,35,0,1,1,23581.0,124,185,0,0.0
1,65,1,28,1,1,0,30335.0,124,141,0,0.0
1,21,1,50,1,0,0,37881.0,160,267,0,0.0
0,47,1,15,1,1,0,28105.0,14,150,0,0.0
0,25,1,11,0,0,1,19800.0,152,111,1,0.0
1,30,1,37,0,1,1,34948.0,124,197,0,0.0
1,28,1,35,1,0,0,38259.0,152,239,0,0.0
0,21,1,8,1,0,0,31742.0,160,264,0,0.0
1,22,1,8,1,0,0,30967.0,152,43,0,0.0
1,23,1,36,0,0,1,53520.0,152,52,0,0.0
0,39,1,48,0,1,1,2630.0,124,173,0,0.0
1,41,1,47,0,1,1,30747.0,124,48,1,0.0
1,22,1,3,1,0,0,35857.0,160,260,0,0.0
1,21,1,26,0,0,1,39661.0,152,196,0,0.0
1,24,1,28,1,0,0,27789.0,152,127,0,0.0
0,60,1,28,1,1,0,39013.0,124,166,0,0.0
0,39,1,28,1,1,0,40863.0,26,167,0,0.0
1,21,1,29,1,0,0,40972.0,152,82,0,0.0
0,69,1,28,0,1,1,30294.0,26,150,1,0.0
0,20,1,27,1,0,0,32491.0,160,10,0,0.0
1,22,1,30,1,0,0,28003.0,152,42,0,0.0
0,64,1,23,0,1,0,28322.0,26,123,0,0.0
0,26,1,30,1,0,0,2630.0,152,126,0,0.0
0,26,1,28,0,0,1,41946.0,122,33,0,0.0
1,36,1,28,0,1,1,27123.0,163,279,1,0.0
1,22,1,15,1,0,0,33620.0,152,128,0,0.0
0,23,1,50,0,0,1,32980.0,151,71,0,0.0
1,49,1,45,1,1,0,30537.0,152,187,0,0.0
1,34,1,46,0,1,1,2630.0,124,253,1,0.0
0,63,1,50,0,1,1,2630.0,155,120,0,0.0
0,51,1,28,0,1,0,58918.0,124,123,0,0.0
0,34,1,41,0,1,1,28832.0,124,150,0,0.0
0,75,1,28,0,1,1,41220.0,26,281,0,0.0
1,25,1,14,1,0,0,36119.0,152,44,0,0.0
0,45,1,8,0,1,1,43373.0,26,239,0,0.0
0,35,1,28,0,1,1,32612.0,152,83,0,1.0
1,26,1,35,1,0,0,34402.0,152,10,0,0.0
1,45,1,28,0,1,1,37734.0,26,195,1,0.0
1,20,1,8,0,1,1,2630.0,156,48,0,0.0
0,52,1,17,1,1,0,2630.0,26,226,0,0.0
1,22,1,30,1,0,0,40862.0,152,23,0,0.0
1,47,1,29,0,1,1,31036.0,26,168,0,1.0
0,28,1,39,1,0,0,2630.0,152,183,0,0.0
0,25,1,12,0,0,1,2630.0,157,187,0,0.0
0,35,1,28,0,1,1,39092.0,26,142,1,0.0
0,22,1,6,0,0,1,32886.0,152,77,1,0.0
0,64,1,28,0,2,1,41394.0,124,254,0,0.0
1,57,1,47,0,1,1,35411.0,124,168,0,0.0
1,25,1,10,0,0,0,23367.0,152,289,0,0.0
0,22,1,29,0,0,1,26348.0,152,190,1,0.0
0,22,1,29,1,0,0,30679.0,152,125,0,0.0
1,24,1,5,1,0,0,27035.0,160,63,0,0.0
0,30,1,40,1,0,0,37925.0,152,26,0,0.0
0,68,1,15,1,1,0,36515.0,152,203,0,0.0
0,35,1,34,0,1,1,31010.0,124,144,0,0.0
1,20,1,30,0,0,1,32119.0,160,115,0,0.0
1,25,1,35,1,0,0,20846.0,152,59,0,0.0
1,31,1,2,1,0,0,31750.0,152,219,0,0.0
0,47,1,8,0,1,1,39718.0,124,71,0,0.0
1,21,1,34,0,0,1,32456.0,152,36,0,0.0
0,25,1,37,1,0,0,37955.0,152,282,0,0.0
0,22,1,29,1,0,0,25641.0,152,218,0,0.0
0,23,1,8,1,0,0,23573.0,160,108,0,0.0
1,28,1,32,1,0,0,31134.0,152,13,0,0.0
0,20,1,1,0,0,0,2630.0,160,235,0,0.0
0,28,1,15,0,1,1,2630.0,157,116,1,0.0
0,43,1,8,0,1,1,28373.0,26,99,0,0.0
1,66,1,46,0,1,1,28743.0,26,144,1,0.0
0,23,1,14,0,0,1,36617.0,152,86,1,0.0
0,30,1,21,1,0,0,2630.0,152,114,0,0.0
1,25,1,14,1,0,0,29383.0,152,78,0,0.0
0,30,1,33,1,0,0,32266.0,152,64,0,0.0
1,24,1,8,1,0,0,48423.0,152,260,0,0.0
0,41,1,8,0,1,1,27784.0,4,30,0,0.0
0,49,1,41,0,1,1,29769.0,124,209,0,0.0
0,31,1,28,0,0,1,34193.0,153,94,0,0.0
1,31,1,28,1,0,0,40289.0,152,124,0,0.0
0,24,1,36,0,0,1,28423.0,152,91,0,0.0
1,41,1,28,0,1,1,35791.0,26,242,0,1.0
1,29,1,28,0,1,1,49752.0,157,159,1,0.0
1,41,1,19,0,1,1,35327.0,122,108,1,0.0
0,20,1,27,1,0,0,2630.0,160,297,0,0.0
0,43,1,28,0,1,1,43028.0,124,98,0,0.0
0,25,1,28,0,0,1,53590.0,26,246,0,0.0
0,40,1,28,0,1,1,43148.0,26,13,1,0.0
0,52,1,46,0,1,1,2630.0,26,13,1,0.0
1,23,1,41,0,0,1,53909.0,152,126,0,0.0
0,23,1,18,1,0,0,29114.0,152,165,0,0.0
0,43,1,28,1,1,0,44444.0,122,51,0,0.0
1,25,1,8,0,0,1,48089.0,152,50,0,0.0
1,21,1,15,0,0,1,38826.0,152,151,0,0.0
0,40,1,28,1,1,0,44095.0,124,60,0,0.0
0,40,1,28,0,1,1,33809.0,154,198,0,0.0
1,35,1,28,0,1,0,28212.0,26,133,0,0.0
0,76,1,28,0,1,1,30352.0,26,185,0,0.0
1,46,1,47,1,1,0,36102.0,26,67,0,0.0
0,22,1,28,0,0,1,44540.0,124,135,0,0.0
1,22,1,30,1,0,0,44391.0,152,155,0,0.0
1,75,1,28,0,1,1,2630.0,26,201,1,0.0
